"Run Time"	"F_7037AV"	"Av_Si_288"	"Av_SiF_440"	"Av_SIF_777"
0.10	35.25	24.5	44.6	28.2
0.20	39.25	34.75	45.8	30.8
0.30	42.75	33.75	45.4	29.6
0.40	40.25	40.25	46.8	33
0.50	48.25	36.75	51	39.4
0.60	40	34.5	46.8	31.2
0.70	46.25	36	48.8	32.2
0.80	38.5	29.5	47.6	30.2
0.90	44.75	40.25	47.4	31.8
1.00	52.75	43.25	50.6	38.8
1.10	49	39.25	49.8	33.4
1.20	45.5	30.75	55.2	36
1.30	41.25	31.75	50.4	34
1.40	52.75	40	56.8	39.2
1.50	39	33.25	45.4	30
1.60	53.75	41.75	53.8	41.4
1.70	40.5	30.25	47.8	33.6
1.80	37.25	30.75	44.4	28.2
1.90	50.25	37.5	52.8	39.2
2.00	44.5	39.5	48.4	35
2.10	45.75	28.75	45	31
2.20	51.25	44.25	53.4	40.2
2.30	47.25	33	50.2	38
2.40	55.25	46	54.4	42.2
2.50	51.5	36	51.2	41
2.60	43.75	35.5	46.8	35
2.70	48	30.75	55.6	37.2
2.80	46.75	38	46.6	37
2.90	44.75	33.25	53.8	35.2
3.00	51	41	49.4	36.8
3.10	43.25	36	45.2	32.4
3.20	47	42.75	51	33.8
3.30	35	28.5	42.8	27.6
3.40	34.75	33	47	31
3.50	44	34.25	52.4	39.6
3.60	46.5	34.5	53.4	35.2
3.70	42.75	40	47.8	34.6
3.80	40.25	38	45.6	28.8
3.90	46.25	31.5	52.4	38.2
4.00	34	27.75	40	21.2
4.10	37	29.75	50.2	28.6
4.20	41.75	29.25	48.6	32.6
4.30	43.25	39	50.6	38.6
4.40	45.25	39	47.4	35.6
4.50	52	41.5	54.2	35.6
4.60	44.5	36.25	51.4	35.8
4.70	31.75	31.25	40.8	26
4.80	45.75	36.75	52	40
4.90	40.75	38	48.2	29.8
5.00	44.5	36.25	47.6	34.4
5.10	41	37.25	46.6	33.6
5.20	37.25	30.5	49.2	31.2
5.30	56.25	31.75	61.4	42
5.40	41.75	30.25	47.4	29.4
5.50	47.5	34	49.4	36.4
5.60	42.5	37	48.4	32.4
5.70	52.25	45.5	54.6	45.2
5.80	46.75	38	50.8	34.8
5.90	57.75	42.75	58	46.6
6.00	36.75	31.75	44	30.6
6.10	44	35.75	49.8	35.4
6.20	43	36.75	52.4	32
6.30	55.5	44.5	54.8	43.8
6.40	42	32.5	48	29.4
6.50	45.75	37.5	48.2	36.8
6.60	48.5	38.25	48	34
6.70	33.75	31.5	39.6	27
6.80	37.5	25.75	51.6	29.2
6.90	47.25	39.25	47.4	36.4
7.00	48.5	44.75	50.8	36.6
7.10	48.75	40	47	36
7.20	43.25	36.75	50.8	34
7.30	52.5	37.5	58.4	40.8
7.40	36.25	31.25	46.6	28.8
7.50	36.25	27.25	44.6	26.4
7.60	41	35	46.6	34.2
7.70	50	43.75	55	38.2
7.80	49.25	34.75	52.4	40.4
7.90	52.75	37.5	64.8	44.8
8.00	33.25	25.5	37.6	24.6
8.10	38	39.25	50.2	33.2
8.20	43.5	38	48.8	33.8
8.30	36.75	36.25	45.6	29.8
8.40	42.75	31.25	45.6	31.6
8.50	45	33.5	51	37.2
8.60	50.75	45	54	39.6
8.70	42.5	32	46.2	31.6
8.80	50.25	43	52.8	36.4
8.90	45.75	35.75	48.6	36.6
9.00	45.75	34.75	51.6	35.4
9.10	43	29.25	53.4	31.4
9.20	47	42.5	49.2	36.6
9.30	53.5	45.5	55.8	42.6
9.40	47	39	50.4	38.2
9.50	49.75	39.25	51.6	35.2
9.60	37	32.25	44.8	27.2
9.70	47.25	35.75	55.2	37.6
9.80	50.25	37.25	48.6	39.2
9.90	47.75	37.25	53.6	37.6
10.00	56.75	42	57.4	43.4
10.10	37.5	32	44	28.4
10.20	42.75	34.5	47.8	31.8
10.30	39.75	31.25	45.8	30.6
10.40	52.25	40.75	53.6	37.4
10.50	48	35	52	35.8
10.60	42	38.75	47	34.4
10.70	51	37.75	57.4	46
10.80	46.5	34.75	50.6	32.8
10.90	44.25	36.5	46.8	33.2
11.00	47	33.75	46.8	34.6
11.10	38.75	30	42.4	32.4
11.20	44	36.5	50	34
11.30	46	34.25	51.2	35.6
11.40	55.25	44.25	54.2	41
11.50	41.5	28.75	54.2	34.8
11.60	49.5	37.25	53.6	38.2
11.70	43.25	38.25	48.2	34.2
11.80	48.75	43.75	53	37.8
11.90	42.5	36	45	35.8
12.00	37.75	28.75	46.4	29.2
12.10	46.5	37.75	47	32.6
12.20	54.75	44.75	57	43
12.30	59	48.25	57.2	44.2
12.40	47	35.5	52.6	36.4
12.50	45	38.25	52.8	35.2
12.60	56.25	39.5	55.2	44.4
12.70	54	49.25	57.8	44
12.80	40	25.5	38	28.2
12.90	49.5	38.25	57	36.4
13.00	37.5	29.25	39.8	24.6
13.10	33.25	30.5	42.4	25.8
13.20	42.5	29.5	49	29.6
13.30	39.5	38.25	49.8	30
13.40	47.25	38.75	49.6	32
13.50	36.25	31.75	43.4	28
13.60	46.75	46.5	50.6	39.4
13.70	36	26.75	44	25.6
13.80	35.75	34	45	30.4
13.90	42.75	26.25	45.2	29.4
14.00	35.25	30	47.4	28.4
14.10	42.5	30	49.2	29.4
14.20	42	40.25	44.8	33
14.30	49.75	42.25	54.6	39.2
14.40	42	30.75	47.8	32.4
14.50	46.5	35.5	50.8	35.8
14.60	46	32.5	42.6	33.4
14.70	42.25	34.75	49.6	33.6
14.80	44	34.5	50	34.8
14.90	52.25	44.5	53.4	43
15.00	45.5	35.75	54.4	34.4
15.10	59.5	41.5	59.2	46.6
15.20	35.75	34.25	48.6	28.6
15.30	46.75	35.5	54.8	37.4
15.40	50.75	41	52.8	36.4
15.50	40	28.75	41	30.4
15.60	37.25	26.75	44.4	28.4
15.70	41.75	33.5	52.6	33.4
15.80	43.75	33.5	49.4	35
15.90	39	28.5	48.4	28.6
16.00	36.75	31.5	41	30.2
16.10	45.25	34.25	53.8	36.8
16.20	49.25	39	54.2	39
16.30	48.75	36.25	53.8	38.2
16.40	54.25	38.25	52.2	42.4
16.50	43	37	49.6	34.2
16.60	41.25	35.5	46.4	28.8
16.70	49.25	33	60.4	43.6
16.80	45.75	37.75	48.4	33.6
16.90	39	25.25	46.2	31.2
17.00	51.75	47	56.4	39.4
17.10	37.75	24.5	45.6	29.6
17.20	41.75	33.25	44.4	31.8
17.30	48.75	33.75	50.8	37.2
17.40	41.75	33.5	49.2	32.4
17.50	48.5	37	46.6	30.8
17.60	37	28	44.4	31.4
17.70	53	42.25	55.2	40.4
17.80	40.25	31.25	46	31.6
17.90	40	32.5	51.6	29.6
18.00	57.25	46	55.6	43
18.10	46.5	44.25	54.2	43.6
18.20	50.75	39.75	54.8	37.4
18.30	42.75	35.5	50.8	37
18.40	52.75	41.75	52	39
18.50	52.5	44	52.4	42.4
18.60	44	40	53.6	37
18.70	43.5	36.75	43.4	30.2
18.80	43.5	34.75	54.2	35.6
18.90	43.25	31.5	46.4	32.8
19.00	53.25	43.5	56.6	39.6
19.10	41.25	34	44.4	31.4
19.20	38.75	32	41	28.8
19.30	35.5	31.75	45	31.2
19.40	40.25	30.25	48.2	30.6
19.50	42.75	28.75	47.4	31.2
19.60	43.5	29.25	50	33.2
19.70	50.5	41.75	53.6	39
19.80	41.25	32	47.6	35.2
19.90	42.25	30.5	42.4	28.6
20.00	47	37.5	50.2	36.8
20.10	41.5	33	44.2	33.2
20.20	41.5	32.5	47.6	31
20.30	43	31.25	51	34.2
20.40	44.5	37	48.2	32.6
20.50	55.75	45.25	57.6	44.8
20.60	40.75	31	43.8	30.4
20.70	41.75	33.25	49.4	31.8
20.80	49.75	38.25	50.4	37.6
20.90	46	39	52.8	37.2
21.00	35.25	32.75	40	32
21.10	28	31.5	26.2	26.8
21.20	23.5	25.75	27	27.2
21.30	24.75	29.25	24.8	26.6
21.40	38.5	40	36.4	40
21.50	37	39.75	32.4	34.8
21.60	38.75	43	35.2	35.4
21.70	34.25	32.75	32.4	36.4
21.80	31.75	33.75	31.4	31.8
21.90	25.75	26.25	30.6	27.6
22.00	30.75	32	33.4	32.8
22.10	34.75	36.5	33.4	34.8
22.20	29.5	36.25	30	30.8
22.30	31	35.25	27.6	31
22.40	29.5	35.25	27.6	28.6
22.50	33.25	35.25	31.6	33.2
22.60	35.25	40	30.8	34.8
22.70	30.5	35.25	32	30.2
22.80	30.5	37	27.4	31.4
22.90	31.5	38.25	32.8	30.8
23.00	35.5	30.5	35.2	35.8
23.10	26	36.25	24.6	27.6
23.20	38.25	40	35.4	35.2
23.30	24	28.5	25.8	27.6
23.40	25	34	28.2	28.2
23.50	25	31.5	26.2	26.6
23.60	27	30	30.6	31.4
23.70	27.5	29	22	26.6
23.80	25.5	30.25	29	28.4
23.90	27.5	32.75	30	32.6
24.00	40.5	46.75	39	39
24.10	34.5	34.25	32.8	29.2
24.20	21	29.75	22.2	23.8
24.30	24	29.5	27.4	23.4
24.40	30.75	33	33	36.8
24.50	21	27.5	24.2	19
24.60	27.75	28.5	31	29.8
24.70	21	32.5	23	26
24.80	40.25	41.5	39.2	37
24.90	30.5	33.25	28.6	30.2
25.00	22.5	26	25.6	23.4
25.10	25.75	32	25.4	28.2
25.20	24.75	34.5	27.4	26
25.30	31.75	39.5	29	29.8
25.40	29	37.5	29.6	29.8
25.50	28.25	34.75	28	31.8
25.60	29.5	40.25	32	31.8
25.70	33.25	33.75	35.4	31.8
25.80	28.5	33.75	26.8	31.2
25.90	22.5	36.75	25.4	29.6
26.00	34.5	42	29	33.6
26.10	30.25	30.25	35	33.8
26.20	29	33	24.6	27.4
26.30	25.25	34	30.4	27.8
26.40	31.75	35.25	28	30.2
26.50	29.25	39	31.2	31.2
26.60	24.25	28	26	23.6
26.70	28	30.75	23.6	27.6
26.80	43.25	47.25	41	44.2
26.90	34.5	28.5	39	35.4
27.00	34.5	41	37.2	34.8
27.10	33.25	30.25	37	33.2
27.20	39.5	41	39.8	40.6
27.30	35	36	34.4	36
27.40	32.25	42	30.8	34.6
27.50	37.75	36.25	38.4	39.8
27.60	31.75	37.75	33.4	33.6
27.70	28.25	35	29	30.8
27.80	28.75	35.25	25.2	30.8
27.90	30.25	37.25	31.8	30.6
28.00	26.25	33.5	24.2	25.8
28.10	24.5	30.5	26.8	27
28.20	38.25	34.75	37	32
28.30	29.5	35.5	27.4	30
28.40	29	32.5	34.4	33.4
28.50	30	38.75	26.4	32
28.60	22.25	28.75	27.8	24
28.70	28.5	31.75	29	29.2
28.80	30.25	42.5	34.8	36
28.90	31	41.25	30.4	32.6
29.00	29	33	31.6	29.8
29.10	29.75	31.5	28.4	27.2
29.20	23.5	29	21.2	26.8
29.30	36.25	36.5	39.4	37.4
29.40	31.75	35.25	32.4	31.4
29.50	29.5	35.75	31	32.8
29.60	35	37	31.4	30.2
29.70	34.75	41.5	31.6	36.4
29.80	31.25	32.75	32.8	31.2
29.90	30.5	31.5	31	31.4
30.00	35.25	36.5	36.8	36.6
30.10	23.25	28.5	23.6	25.6
30.20	27	34.5	32.6	28.4
30.30	30.25	31	22	27.2
30.40	29.5	41.5	30.2	33.8
30.50	21.75	27	27	24.4
30.60	24.5	29.5	21.8	26.4
30.70	36.5	34	38	33.8
30.80	29.25	34.5	25.4	28.2
30.90	32.5	36.25	33	34
31.00	30	35	28.4	30.8
31.10	36.75	39.5	31.4	32.2
31.20	28	33.25	25.2	30.2
31.30	34.25	41.25	34	35.6
31.40	39.25	40	34.6	40
31.50	28	28	27.2	29.8
31.60	33.25	34	31	32.6
31.70	24	29.75	25.4	25.6
31.80	35.25	36.75	33.4	30.2
31.90	24.25	27.75	28.6	28.4
32.00	25.75	26.75	28	26.2
32.10	32	37.75	34.2	35.2
32.20	30.25	31.25	32.8	30.8
32.30	27.5	36.25	28	26.8
32.40	26.75	34.75	28	30.6
32.50	41.75	37.75	43.4	40
32.60	24.75	34.25	24.6	25.6
32.70	32	32.5	38.6	27.2
32.80	32	29.75	29.2	34.6
32.90	32.25	40.75	31	33.8
33.00	30.75	38.25	30.6	31.4
33.10	26	32.75	28.8	25.8
33.20	29.5	25.75	30.6	30.6
33.30	28.5	31	31.4	32.4
33.40	24.25	34.5	27.6	26.6
33.50	39	44.5	34.4	36
33.60	32.25	41.75	33.2	31.8
33.70	34.25	35.25	34.2	36.4
33.80	36	34.75	39.4	35
33.90	29.5	33.75	31.6	30.2
34.00	27	33.75	28.6	28.6
34.10	34.5	38	34.4	33.6
34.20	24.25	33.75	24.6	26
34.30	37.75	38.5	37.2	39.4
34.40	30	33	32.8	30
34.50	30.75	41.25	31.2	32.8
34.60	23.5	30.25	25.2	29.2
34.70	24.5	28.5	27.2	25.4
34.80	20.75	29.25	22	21.6
34.90	29	39.75	26.6	31.6
35.00	20.5	27.75	25.8	25.4
35.10	24.5	26.75	28.2	24.6
35.20	28.75	36.25	30.6	28.8
35.30	29.5	26.5	26.8	31
35.40	24.75	29.25	29.4	26.2
35.50	44	45.5	37	42.2
35.60	27	33	28.4	28.2
35.70	28.75	35.25	30	32
35.80	30.25	35.5	29	29.8
35.90	28	33	31.8	27.2
36.00	31.5	38.25	32	31.4
36.10	27.75	31.25	29.6	24.4
36.20	29	34.75	26.2	29.8
36.30	25.25	24	32.6	29
36.40	27	35	28	28.4
36.50	22.25	28.5	21.4	22.8
36.60	24.25	25.75	28.4	23.8
36.70	27.5	36	25.8	29.4
36.80	27	29.25	27.8	24.4
36.90	27.5	28.5	26.2	27.2
37.00	26.5	30.5	28.2	29
37.10	22.25	24.75	26	23
37.20	40	40.25	37.2	38
37.30	25	28.5	27.6	27.2
37.40	26	29.75	26.8	28.8
37.50	37.25	41.25	34.6	38.2
37.60	32.75	38.5	33	36.2
37.70	31.25	35.75	28.6	28.6
37.80	42.25	40.75	35.8	39.6
37.90	41.5	42.5	35.8	41.6
38.00	39.25	35.25	36.6	36
38.10	26.5	30.25	34.8	30.6
38.20	32.75	30.75	29.4	30
38.30	30.75	36.25	29.2	35
38.40	49	49.5	40.6	44.6
38.50	34.75	37.5	31	34.4
38.60	29.25	28.5	37	31.4
38.70	33	32.5	29.2	29.2
38.80	35	37.5	32.8	34.6
38.90	38	40	34.6	35.2
39.00	32.25	34.75	23.6	34.8
39.10	29.75	35.5	35.4	31.8
39.20	33.5	39.25	31	34
39.30	42.75	44.75	36.2	37.8
39.40	34.75	35	31.6	31.6
39.50	31.75	38.5	31.4	32.6
39.60	36	33.5	38.4	38.8
39.70	29.25	37.75	31	32.8
39.80	31.5	27.75	34.4	30
39.90	31.5	34.5	30	32.2
40.00	32.75	41.75	35.6	37.8
40.10	37	41.75	33	33.4
40.20	24	27.75	27.4	28.8
40.30	32.75	34.25	33.6	31
40.40	29.25	38.5	33	30
