Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,11:23:49
Device ID,MOSCAP_4_C
Count,1
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,0,0.1,0.1,"SMU1:HP	HPSMU",3.2,-3.2,-0.2,0.2,0.01,"SMU2:HP	HPSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
3,2.21163E-13,6E-15
2.8,2.13648E-13,4E-15
2.6,2.25435E-13,2.3E-14
2.4,2.27198E-13,1.5E-14
2.2,2.22181E-13,5E-15
2,2.05227E-13,-1.9E-14
1.8,2.21226E-13,2E-15
1.6,2.15573E-13,-1.2E-14
1.4,2.29632E-13,1.3E-14
1.2,2.23725E-13,7E-15
1,2.28268E-13,-2E-15
0.8,2.07227E-13,-9E-15
0.6,2.11144E-13,-7E-15
0.4,1.89846E-13,-3.2E-14
0.2,2.06488E-13,-1.7E-14
0,2.19598E-13,-9E-15
-0.2,2.12144E-13,5E-15
-0.4,2.19057E-13,-7E-15
-0.6,2.06083E-13,-1.2E-14
-0.8,2.15909E-13,-5E-15
-1,2.35763E-13,-4E-15
-1.2,2.2087E-13,4E-15
-1.4,2.07497E-13,5E-15
-1.6,2.04139E-13,-2.5E-14
-1.8,2.05079E-13,1E-15
-2,2.18141E-13,6E-15
-2.2,2.18996E-13,-2E-15
-2.4,2.19368E-13,-5E-15
-2.6,2.28051E-13,2.5E-14
-2.8,2.19407E-13,8E-15
-3,2.27467E-13,2E-15
