Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,11:50:11
Device ID,MOSCAP_4_C
Count,5
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,0,5,0.1,"SMU3:HR	HRSMU",3.2,-3.2,-0.2,0.1,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
3,1.78891E-10,-4.8E-14
2.8,1.26406E-10,-1.94E-13
2.6,1.22269E-10,-3.06E-13
2.4,1.24046E-10,-2.49E-13
2.2,1.2224E-10,-2.92E-13
2,1.22517E-10,-2.88E-13
1.8,1.19666E-10,-3.48E-13
1.6,1.20688E-10,-3.18E-13
1.4,1.23717E-10,-2.3E-13
1.2,1.21547E-10,-2.74E-13
1,1.21428E-10,-2.52E-13
0.8,1.20838E-10,-2.34E-13
0.6,1.17118E-10,-2.79E-13
0.4,1.14392E-10,-2.61E-13
0.2,1.0798E-10,-2.66E-13
0,9.55834E-11,-2.17E-13
-0.2,7.41265E-11,-1.7E-13
-0.4,8.35278E-11,-1.06E-13
-0.6,1.1529E-10,-2.12E-13
-0.8,1.18149E-10,-2.66E-13
-1,1.19562E-10,-2.89E-13
-1.2,1.1965E-10,-3.21E-13
-1.4,1.23215E-10,-2.72E-13
-1.6,1.23787E-10,-2.84E-13
-1.8,1.23207E-10,-3.04E-13
-2,1.25866E-10,-2.45E-13
-2.2,1.24857E-10,-2.81E-13
-2.4,1.23754E-10,-3.27E-13
-2.6,1.24175E-10,-3.09E-13
-2.8,1.23822E-10,-3.3E-13
-3,1.22128E-10,-3.75E-13
