Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,12:02:55
Device ID,MOSCAP_4_C
Count,7
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,1,1,0.1,"SMU3:HR	HRSMU",1.5,-1.5,-0.02,0.02,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1.5E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
1.48,1.75853E-10,-6.5E-14
1.46,1.74602E-10,-8E-14
1.44,1.76288E-10,-5.2E-14
1.42,1.77168E-10,-2.6E-14
1.4,1.7602E-10,-5E-14
1.38,1.74128E-10,-8E-14
1.36,1.78788E-10,1.5E-14
1.34,1.77632E-10,-1.3E-14
1.32,1.7585E-10,-5.1E-14
1.3,1.73749E-10,-9.1E-14
1.28,1.75444E-10,-4.8E-14
1.26,1.78693E-10,1.7E-14
1.24,1.73915E-10,-7.9E-14
1.22,1.73099E-10,-9.2E-14
1.2,1.7407E-10,-6.1E-14
1.18,1.7468E-10,-5.5E-14
1.16,1.73487E-10,-6.8E-14
1.14,1.73663E-10,-7E-14
1.12,1.74463E-10,-4.4E-14
