Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,12:04:44
Device ID,MOSCAP_4_C
Count,8
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,1,1,0.1,"SMU3:HR	HRSMU",1.5,-1.5,-0.1,0.1,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1.5E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
1.4,1.76223E-10,-3.2E-14
1.3,1.75544E-10,-3.4E-14
1.2,1.74798E-10,-6E-14
1.1,1.74131E-10,-5.1E-14
1,1.72933E-10,-9E-14
0.9,1.72245E-10,-5.9E-14
0.8,1.70902E-10,-7E-14
0.7,1.6961E-10,-3.7E-14
0.6,1.67276E-10,-8.1E-14
0.5,1.64247E-10,-1.28E-13
0.4,1.61423E-10,-9E-14
0.3,1.57378E-10,-3.3E-14
0.2,1.50699E-10,-7.5E-14
0.1,1.4103E-10,-1.3E-13
0,1.28825E-10,-1.04E-13
-0.1,1.12343E-10,-7E-14
-0.2,9.4058E-11,-5E-14
-0.3,8.21634E-11,-5.2E-14
-0.4,9.5115E-11,-5.6E-14
-0.5,1.26201E-10,-1.06E-13
-0.6,1.46473E-10,-8.2E-14
-0.7,1.5658E-10,-1.04E-13
-0.8,1.62676E-10,-8.5E-14
-0.9,1.66729E-10,-4.7E-14
-1,1.68756E-10,-9.3E-14
-1.1,1.7073E-10,-8.9E-14
-1.2,1.72583E-10,-5.1E-14
-1.3,1.73791E-10,-4.8E-14
-1.4,1.74518E-10,-7.5E-14
