Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,12:06:54
Device ID,MOSCAP_4_C
Count,9
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,1,1,0.1,"SMU3:HR	HRSMU",2,-2,-0.1,0.1,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1.5E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
1.9,1.77675E-10,-6.2E-14
1.8,1.77507E-10,-5.9E-14
1.7,1.76412E-10,-1.33E-13
1.6,1.77285E-10,-2.6E-14
1.5,1.76504E-10,-5.7E-14
1.4,1.75669E-10,-1E-13
1.3,1.7543E-10,-5.6E-14
1.2,1.74152E-10,-1.38E-13
1.1,1.73888E-10,-8.8E-14
1,1.7315E-10,-8.5E-14
0.9,1.72372E-10,-6.4E-14
0.8,1.71135E-10,-5.1E-14
0.7,1.68941E-10,-1.09E-13
0.6,1.67127E-10,-1E-13
0.5,1.64984E-10,-7.2E-14
0.4,1.62194E-10,-2.5E-14
0.3,1.5699E-10,-8.2E-14
0.2,1.50925E-10,-6.6E-14
0.1,1.41713E-10,-8.4E-14
0,1.29466E-10,-4.4E-14
-0.1,1.12485E-10,-8.3E-14
-0.2,9.39587E-11,-8.9E-14
-0.3,8.19191E-11,-7.7E-14
-0.4,9.53584E-11,-6E-14
-0.5,1.26065E-10,-1.29E-13
-0.6,1.4632E-10,-1.13E-13
-0.7,1.57062E-10,-5.5E-14
-0.8,1.6271E-10,-8.5E-14
-0.9,1.66922E-10,-4.8E-14
-1,1.69132E-10,-6.8E-14
-1.1,1.70879E-10,-8.6E-14
-1.2,1.72021E-10,-1.21E-13
-1.3,1.73602E-10,-8.4E-14
-1.4,1.7475E-10,-6.9E-14
-1.5,1.75294E-10,-7.7E-14
-1.6,1.76474E-10,-3.5E-14
-1.7,1.76275E-10,-1.01E-13
-1.8,1.7669E-10,-1.1E-13
-1.9,1.77485E-10,-8.4E-14
