Setup title,QSCV[2]
Application test name,QSCV[2]
Test date,12/10/2025
Test time,12:09:49
Device ID,MOSCAP_4_C
Count,10
Flags,
Remarks,
Name,IMeasSMU,MeasRange,LeakCompen,HoldTime,DelayTime,Integ_C,Integ_L,Gate,Vstart,Vstop,Vstep,QSCVMeasV,I_Comp,Subs,IOffsetCancel,IOffsetSink,OutputRange,SwpMode,StepDelay,VCompSinkSMU,Cmin,Cmax,IgMin,IgMax
Value,"Gate SMU",-11,1,1,1,1,0.5,"SMU3:HR	HRSMU",2,-2,-0.1,0.1,0.01,"SMU4:HR	HRSMU",Disable,"SMU5:HR	HRSMU",0,0,0,5,0,1.5E-10,-1E-09,1E-09
Name,Polarity,Lg,Wg,Temp
Value,1,0.0005,0.0005,25
V,F,A
1.9,1.7773E-10,-7.8E-14
1.8,1.77417E-10,-7.8E-14
1.7,1.76909E-10,-8.1E-14
1.6,1.76666E-10,-7.4E-14
1.5,1.76113E-10,-7.6E-14
1.4,1.75964E-10,-6.9E-14
1.3,1.75201E-10,-7.6E-14
1.2,1.74684E-10,-8.5E-14
1.1,1.73912E-10,-7.5E-14
1,1.7304E-10,-8.9E-14
0.9,1.71893E-10,-9.6E-14
0.8,1.70945E-10,-7.5E-14
0.7,1.69381E-10,-7.7E-14
0.6,1.67516E-10,-7.6E-14
0.5,1.64787E-10,-8.6E-14
0.4,1.61628E-10,-7.9E-14
0.3,1.57039E-10,-8.3E-14
0.2,1.50722E-10,-8.4E-14
0.1,1.41714E-10,-8.6E-14
0,1.29123E-10,-8.8E-14
-0.1,1.12412E-10,-8.1E-14
-0.2,9.39288E-11,-8.4E-14
-0.3,8.19673E-11,-8.1E-14
-0.4,9.48717E-11,-1.08E-13
-0.5,1.26552E-10,-9E-14
-0.6,1.46583E-10,-9.5E-14
-0.7,1.5684E-10,-9.2E-14
-0.8,1.62627E-10,-9.8E-14
-0.9,1.66503E-10,-9.5E-14
-1,1.69066E-10,-8.7E-14
-1.1,1.70996E-10,-9E-14
-1.2,1.72328E-10,-9.7E-14
-1.3,1.73355E-10,-1.04E-13
-1.4,1.74427E-10,-1.03E-13
-1.5,1.75222E-10,-9.4E-14
-1.6,1.75622E-10,-1.21E-13
-1.7,1.76512E-10,-9.9E-14
-1.8,1.76822E-10,-1.1E-13
-1.9,1.7733E-10,-1.12E-13
