Setup title,CMUT-Cf
Application test name,"CMUT C-f"
Test date,12/10/2025
Test time,12:44:21
Device ID,MOSCAP_4_C
Count,1
Flags,
Remarks,
Name,Port1,Vbias,FreqStart,FreqStop,NoOfSteps,OscLevel,Single_Double,Linear_Log,OnAbnormalStatus,IntegTime,G_Min,G_Max,Cp_Min,Cp_Max,HoldTime,DelayTime,Range
Value,"CMU1:MF/SC	MFCMU/SCUU",0,1000,2000000,76,0.05,0,1,1,MEDIUM,0,0.001,0,1E-10,0,0,0
Hz,F,S,F,ohm,ohm,,ohm,ohm,rad,V,V
1000,1.24105204904457E-10,1.15635E-10,1.24105207633616E-10,190.173310448017,8647900722.09971,0.000148292586588969,-1282419.53844349,1282419.55254413,-1.57064803420939,0.005416,0.049862912
1106.659,1.24148474967704E-10,-2.33084E-11,1.24148475058214E-10,-31.2782399280185,-42902987764.0679,-2.7000846802827E-05,-1158416.99915662,1158416.99957889,1.5707693259481,0.005424,0.049881984
1224.694,1.2412119084158E-10,2.24945E-11,1.24121190910429E-10,24.6586649528754,44455311298.3174,2.35517374962046E-05,-1046999.82142928,1046999.82171965,-1.5707727750574,0.005384,0.049886848
1355.318,1.24124645579566E-10,7.64392E-11,1.24124646228697E-10,68.4160408989422,13082292854.9749,7.23164397687818E-05,-946064.838336754,946064.840810557,-1.57072401035525,0.00544,0.049893248
1499.875,1.24152262666553E-10,3.56821E-10,1.24152274213742E-10,260.658095834015,2802525636.10326,0.000304972607071735,-854693.470134202,854693.509880991,-1.57049135419728,0.005464,0.049852352
1659.849,1.24131054227197E-10,4.24112E-10,1.24131067549637E-10,253.059547721851,2357867733.05165,0.000327605864450246,-772451.214041936,772451.255493831,-1.57046872094217,0.005536,0.0498736
1836.887,1.24139828015769E-10,4.90424E-10,1.24139842560566E-10,238.904740670911,2039051922.41815,0.000342293196348307,-697953.518269202,697953.559156934,-1.57045403361192,0.005368,0.049898944
2032.807,1.24156556527875E-10,7.9316E-10,1.24156587587766E-10,315.405560643395,1260779666.14554,0.000500167109138032,-630600.363120543,630600.441998282,-1.57029615972747,0.005456,0.049881984
2249.624,1.24146039977733E-10,1.14176E-09,1.24146092535531E-10,370.791088891615,875840807.174888,0.00065065706242378,-569871.765489444,569871.886118351,-1.57014566982429,0.005352,0.049874304
2489.566,1.24142678860813E-10,1.32456E-09,1.2414273661921E-10,351.254731592933,754967687.38298,0.000682098368084701,-514961.987930332,514962.107725458,-1.5701142285326,0.005392,0.049875776
2755.1,1.2414848090752E-10,1.64993E-09,1.24148554081245E-10,357.23004087144,606086318.813525,0.000767727105639079,-465308.621054966,465308.758182539,-1.57002859984009,0.005416,0.04988384
3048.955,1.24151039799209E-10,2.30645E-09,1.24151156554336E-10,407.737961629448,433566736.759956,0.000969756725165869,-420453.863374557,420454.061077826,-1.56982657037373,0.005384,0.049882432
3374.153,1.24144660251781E-10,2.91544E-09,1.24144812583692E-10,420.879920280222,343001399.44571,0.00110772363901638,-379950.292163077,379950.525272324,-1.56968860360896,0.005488,0.049895616
3734.036,1.2414818331766E-10,3.78907E-09,1.24148393409E-10,446.61614428899,263917003.380777,0.00130086997720344,-343321.125182018,343321.415676661,-1.5694954575515,0.005432,0.049848576
