Setup title,CMUT-CV
Application test name,CMUT-CV
Test date,12/10/2025
Test time,12:47:54
Device ID,MOSCAP_4_C
Count,2
Flags,#
Remarks,
Name,Plate,VplateStart,VplateStop,VplateStep,OscLevel,FREQ,IntegTime,HoldTime,DelayTime
Value,"CMU1:MF/SC	MFCMU/SCUU",-2,2,0.1,0.2,1000000,MEDIUM,0,0
V,F,S,,ohm,F,ohm,ohm,ohm,rad
-2,8.55644E-11,0.000291613,0.542417762759613,3429.20240181336,1.10738903586726E-10,-1437.2089476874,779.567662022697,1635.02149801899,-1.07379304284202
-1.9,8.55506E-11,0.00029133,0.541978777132756,3432.53355301548,1.10680318355068E-10,-1437.96969016079,779.349054227316,1635.5860656493,-1.07413229536358
-1.8,8.55585E-11,0.000290887,0.541104670268692,3437.76105498011,1.10609538052408E-10,-1438.88986333643,778.590025053622,1636.03376063128,-1.07480818561956
-1.7,8.55927E-11,0.000290261,0.539724450061843,3445.17520438502,1.10526065950616E-10,-1439.97654963172,777.19055135193,1636.32442278418,-1.0758764278991
-1.6,8.56061E-11,0.000289645,0.538494727500303,3452.50220097015,1.10429863381392E-10,-1441.23100598487,776.095297832811,1636.90889298408,-1.07682922911456
-1.5,8.5653E-11,0.000288693,0.536430924614901,3463.88724354245,1.10300347698457E-10,-1442.92331269018,774.028686774789,1637.42117192099,-1.07843048352207
-1.4,8.56639E-11,0.000287784,0.534673837436418,3474.82834347983,1.10153162708362E-10,-1444.85132499835,772.524202461961,1638.41050861467,-1.07979593643734
-1.3,8.57046E-11,0.000286529,0.532089370806108,3490.04812776368,1.09969209091432E-10,-1447.26823450743,770.076044286727,1639.39087974728,-1.08180798367775
-1.2,8.57795E-11,0.000284715,0.528259078479362,3512.2842140386,1.09716926030938E-10,-1450.59608256849,766.290549823401,1640.55789337399,-1.08479786549754
-1.1,8.58388E-11,0.000282553,0.523885546343328,3539.15902503247,1.09397779329615E-10,-1454.82791394149,762.163316530764,1642.38155744898,-1.08822337894361
-1,8.58854E-11,0.000279742,0.518392207411554,3574.72242280387,1.08965424827543E-10,-1460.60040002437,757.163865514834,1645.19015551174,-1.09254344736201
-0.9,8.59914E-11,0.000275301,0.509533685788962,3632.38782278306,1.08316880846655E-10,-1469.34569983835,748.681130136796,1649.09072529572,-1.09955089004472
-0.8,8.61993E-11,0.000267882,0.494606620533506,3732.98691214789,1.07286726877318E-10,-1483.45417671217,733.726257059921,1654.98958144876,-1.11147272287664
-0.7,8.64963E-11,0.000254121,0.467587784604263,3935.13326328796,1.05407707129068E-10,-1509.89853993367,706.010113264798,1666.80649174582,-1.13341304155804
-0.6,8.6515E-11,0.000226789,0.417206153717586,4409.38493489543,1.01573885226155E-10,-1566.88840579028,653.715485084445,1697.78774045497,-1.17554561388101
-0.5,8.55944E-11,0.000190145,0.353557202973747,5259.14433721633,9.62939307432111E-11,-1652.80347228069,584.360572724858,1753.06491520948,-1.23095602856219
-0.4,8.48977E-11,0.000159137,0.298328932100885,6283.89375192444,9.24536081813968E-11,-1721.45734733974,513.560532089089,1796.429742247,-1.28087332636373
-0.3,8.61268E-11,0.000144507,0.26703654798955,6920.07999612475,9.22683744648246E-11,-1724.91326540721,460.614883975722,1785.35482314237,-1.30984864197165
-0.2,9.10633E-11,0.000153093,0.267566711318102,6531.97729484692,9.7582698765627E-11,-1630.97500996762,436.394619659043,1688.348230433,-1.30935383284357
-0.1,1.00357E-10,0.000184495,0.292588371770247,5420.20108946042,1.08948357569557E-10,-1460.82920975036,427.421639915275,1522.07464939395,-1.28615298476842
0,1.1182E-10,0.000227861,0.324317693506274,4388.64044307714,1.2358144747404E-10,-1287.85466059028,417.674053093946,1353.89114829518,-1.25718167431883
0.1,1.21829E-10,0.000269025,0.351448822245179,3717.12666109098,1.36876864225251E-10,-1162.76000325389,408.65063369738,1232.47968161275,-1.23283138069649
0.2,1.29083E-10,0.000303074,0.373679920846628,3299.52420860912,1.47107721983178E-10,-1081.89387304995,404.282016845757,1154.96246765334,-1.21318348817322
